England and Wales Code,England and Wales,Ethnic group (6 categories) Code,Ethnic group (6 categories),Sex (2 categories) Code,Sex (2 categories),Age (23 categories) Code,Age (23 categories),Observation
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh",1,Female,17,Aged 60 to 64 years,98448
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh",1,Female,18,Aged 65 years,17799
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh",1,Female,19,Aged 66 to 69 years,64238
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh",1,Female,20,Aged 70 to 74 years,59805
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh",1,Female,21,Aged 75 to 79 years,36271
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh",1,Female,22,Aged 80 to 84 years,26581
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh",1,Female,23,Aged 85 years and over,20597
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh",2,Male,1,Aged 2 years and under,114087
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh",2,Male,2,Aged 3 to 4 years,81895
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh",2,Male,3,Aged 5 to 7 years,127674
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh",2,Male,4,Aged 8 to 9 years,87973
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh",2,Male,5,Aged 10 to 14 years,216795
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh",2,Male,6,Aged 15 years,41487
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh",2,Male,7,Aged 16 to 17 years,82152
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh",2,Male,8,Aged 18 to 19 years,84225
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh",2,Male,9,Aged 20 to 24 years,216402
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh",2,Male,10,Aged 25 to 29 years,199397
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh",2,Male,11,Aged 30 to 34 years,224046
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh",2,Male,12,Aged 35 to 39 years,243162
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh",2,Male,13,Aged 40 to 44 years,238342
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh",2,Male,14,Aged 45 to 49 years,200819
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh",2,Male,15,Aged 50 to 54 years,156089
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh",2,Male,16,Aged 55 to 59 years,109012
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh",2,Male,17,Aged 60 to 64 years,93358
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh",2,Male,18,Aged 65 years,16398
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh",2,Male,19,Aged 66 to 69 years,58148
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh",2,Male,20,Aged 70 to 74 years,45933
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh",2,Male,21,Aged 75 to 79 years,29209
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh",2,Male,22,Aged 80 to 84 years,24236
K04000001,England and Wales,1,"Asian, Asian British or Asian Welsh",2,Male,23,Aged 85 years and over,16625
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,1,Aged 2 years and under,46080
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,2,Aged 3 to 4 years,33388
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,3,Aged 5 to 7 years,52697
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,4,Aged 8 to 9 years,38528
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,5,Aged 10 to 14 years,104277
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,6,Aged 15 years,20201
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,7,Aged 16 to 17 years,40456
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,8,Aged 18 to 19 years,39623
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,9,Aged 20 to 24 years,91719
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,10,Aged 25 to 29 years,90430
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,11,Aged 30 to 34 years,94192
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,12,Aged 35 to 39 years,97918
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,13,Aged 40 to 44 years,100740
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,14,Aged 45 to 49 years,92128
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,15,Aged 50 to 54 years,95743
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,16,Aged 55 to 59 years,84790
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,17,Aged 60 to 64 years,53527
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,18,Aged 65 years,7110
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,19,Aged 66 to 69 years,21486
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,20,Aged 70 to 74 years,18107
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,21,Aged 75 to 79 years,16288
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,22,Aged 80 to 84 years,14761
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,23,Aged 85 years and over,12505
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,1,Aged 2 years and under,46922
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,2,Aged 3 to 4 years,33855
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,3,Aged 5 to 7 years,54779
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,4,Aged 8 to 9 years,39401
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,5,Aged 10 to 14 years,105715
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,6,Aged 15 years,20642
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,7,Aged 16 to 17 years,42310
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,8,Aged 18 to 19 years,41160
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,9,Aged 20 to 24 years,91322
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,10,Aged 25 to 29 years,80229
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,11,Aged 30 to 34 years,76790
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,12,Aged 35 to 39 years,77347
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,13,Aged 40 to 44 years,79484
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,14,Aged 45 to 49 years,78082
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,15,Aged 50 to 54 years,84035
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,16,Aged 55 to 59 years,75892
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,17,Aged 60 to 64 years,49326
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,18,Aged 65 years,6307
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,19,Aged 66 to 69 years,17768
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,20,Aged 70 to 74 years,12426
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,21,Aged 75 to 79 years,9867
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,22,Aged 80 to 84 years,10539
K04000001,England and Wales,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,23,Aged 85 years and over,8388
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,1,Female,1,Aged 2 years and under,73523
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,1,Female,2,Aged 3 to 4 years,49303
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,1,Female,3,Aged 5 to 7 years,71204
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,1,Female,4,Aged 8 to 9 years,47463
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,1,Female,5,Aged 10 to 14 years,108241
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,1,Female,6,Aged 15 years,18546
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,1,Female,7,Aged 16 to 17 years,35499
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,1,Female,8,Aged 18 to 19 years,32549
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,1,Female,9,Aged 20 to 24 years,77209
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,1,Female,10,Aged 25 to 29 years,70164
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,1,Female,11,Aged 30 to 34 years,65605
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,1,Female,12,Aged 35 to 39 years,52576
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,1,Female,13,Aged 40 to 44 years,41547
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,1,Female,14,Aged 45 to 49 years,32958
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,1,Female,15,Aged 50 to 54 years,31372
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,1,Female,16,Aged 55 to 59 years,26222
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,1,Female,17,Aged 60 to 64 years,16005
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,1,Female,18,Aged 65 years,2252
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,1,Female,19,Aged 66 to 69 years,7147
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,1,Female,20,Aged 70 to 74 years,6561
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,1,Female,21,Aged 75 to 79 years,4428
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,1,Female,22,Aged 80 to 84 years,2685
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,1,Female,23,Aged 85 years and over,3031
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,2,Male,1,Aged 2 years and under,77070
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,2,Male,2,Aged 3 to 4 years,50848
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,2,Male,3,Aged 5 to 7 years,74082
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,2,Male,4,Aged 8 to 9 years,49476
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,2,Male,5,Aged 10 to 14 years,112208
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,2,Male,6,Aged 15 years,19280
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,2,Male,7,Aged 16 to 17 years,36670
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,2,Male,8,Aged 18 to 19 years,32409
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,2,Male,9,Aged 20 to 24 years,73882
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,2,Male,10,Aged 25 to 29 years,63320
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,2,Male,11,Aged 30 to 34 years,57079
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,2,Male,12,Aged 35 to 39 years,46401
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,2,Male,13,Aged 40 to 44 years,36049
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,2,Male,14,Aged 45 to 49 years,28995
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,2,Male,15,Aged 50 to 54 years,27372
